Date,vwretx,ewretx
2009-03-30,-0.036335,-0.031938
2009-03-31,0.014261,0.020124
2009-04-01,0.016962,0.015614
2009-04-02,0.031716,0.038943
2009-04-03,0.011577,0.012668
2009-04-06,-0.009856,-0.007253
2009-04-07,-0.025105,-0.020181
2009-04-08,0.013096,0.01741
2009-04-09,0.039441,0.045828
2009-04-13,0.003857,0.007148
2009-04-14,-0.019538,-0.012781
2009-04-15,0.012422,0.013558
2009-04-16,0.016044,0.020349
2009-04-17,0.006011,0.013748
2009-04-20,-0.044809,-0.042046
2009-04-21,0.022738,0.028919
2009-04-22,-0.005823,0.005351
2009-04-23,0.009196,0.001693
2009-04-24,0.018977,0.021483
2009-04-27,-0.011406,-0.011724
2009-04-28,-0.002962,0.004866
2009-04-29,0.02439,0.028455
2009-04-30,-0.000495,0.00418
2009-05-01,0.005919,0.008345
2009-05-04,0.035878,0.037603
2009-05-05,-0.003547,0.00262
2009-05-06,0.015756,0.01504
2009-05-07,-0.015632,-0.011422
2009-05-08,0.027331,0.033944
2009-05-11,-0.020996,-0.006886
2009-05-12,-0.002716,-0.005804
2009-05-13,-0.031578,-0.03735
2009-05-14,0.012335,0.01352
2009-05-15,-0.01077,-0.008228
2009-05-18,0.032856,0.034404
2009-05-19,0.000331,0.004793
2009-05-20,-0.001869,0.000185
2009-05-21,-0.016786,-0.013953
2009-05-22,-0.000138,0.000876
2009-05-26,0.028131,0.027208
2009-05-27,-0.017476,-0.010206
2009-05-28,0.014907,0.008145
2009-05-29,0.014733,0.014954
2009-06-01,0.026991,0.029159
2009-06-02,0.003108,0.006465
2009-06-03,-0.017388,-0.010969
2009-06-04,0.013499,0.019853
2009-06-05,-0.003179,0.001178
2009-06-08,-0.002809,-0.003627
2009-06-09,0.00546,0.008643
2009-06-10,-0.002868,-0.002354
2009-06-11,0.006911,0.010297
2009-06-12,-0.0014,-0.002662
2009-06-15,-0.02545,-0.023442
2009-06-16,-0.013141,-0.011502
2009-06-17,-0.003073,-0.001974
2009-06-18,0.006483,0.002944
2009-06-19,0.004067,0.006121
2009-06-22,-0.033313,-0.033507
2009-06-23,0.002151,-0.002855
2009-06-24,0.008911,0.008541
2009-06-25,0.021555,0.02192
2009-06-26,0.000698,0.009455
2009-06-29,0.007646,0.002581
2009-06-30,-0.007806,-0.001845
2009-07-01,0.00592,0.011637
2009-07-02,-0.028231,-0.024559
2009-07-06,-0.001739,-0.008899
2009-07-07,-0.019567,-0.016017
2009-07-08,-0.004079,-0.011067
2009-07-09,0.004867,0.004944
2009-07-10,-0.003402,-0.000134
2009-07-13,0.023842,0.015919
2009-07-14,0.00724,0.008303
2009-07-15,0.031131,0.029538
2009-07-16,0.00944,0.008213
2009-07-17,-0.000101,-0.001883
2009-07-20,0.013508,0.015309
2009-07-21,0.002496,-0.001774
2009-07-22,0.000492,0.006205
2009-07-23,0.024191,0.022647
2009-07-24,0.00431,0.006532
2009-07-27,0.003424,0.007145
2009-07-28,-0.003763,0.001271
2009-07-29,-0.006687,-0.005267
2009-07-30,0.01329,0.01481
2009-07-31,0.002662,0.004931
2009-08-03,0.017943,0.018979
2009-08-04,0.002472,0.006793
2009-08-05,-0.002375,0.000454
2009-08-06,-0.007611,-0.007286
2009-08-07,0.013312,0.01783
2009-08-10,-0.004406,0.002061
2009-08-11,-0.013931,-0.011763
2009-08-12,0.011953,0.012078
2009-08-13,0.008316,0.007076
2009-08-14,-0.010054,-0.012103
2009-08-17,-0.026166,-0.025955
2009-08-18,0.011883,0.014958
2009-08-19,0.006793,0.00648
2009-08-20,0.010639,0.010238
2009-08-21,0.018075,0.016415
2009-08-24,-0.000883,0.00104
2009-08-25,0.002737,0.005296
2009-08-26,-0.000867,0.003416
2009-08-27,0.002958,0.002886
2009-08-28,-0.001534,-0.00182
2009-08-31,-0.009217,-0.00901
2009-09-01,-0.022031,-0.019693
2009-09-02,-0.002822,-0.000708
2009-09-03,0.010669,0.01055
2009-09-04,0.013934,0.013169
2009-09-08,0.010302,0.011679
2009-09-09,0.00775,0.011559
2009-09-10,0.01111,0.012868
2009-09-11,-0.000187,0.001629
2009-09-14,0.006375,0.008033
2009-09-15,0.006147,0.009161
2009-09-16,0.016221,0.016803
2009-09-17,-0.003803,0.00006
2009-09-18,0.001797,0.002374
2009-09-21,-0.004286,-0.001907
2009-09-22,0.008525,0.0095
2009-09-23,-0.010415,-0.005315
2009-09-24,-0.012804,-0.015891
2009-09-25,-0.006367,-0.00246
2009-09-28,0.01778,0.015544
2009-09-29,-0.001128,0.000021
2009-09-30,-0.002932,-0.004365
2009-10-01,-0.027187,-0.024291
2009-10-02,-0.005345,-0.00652
2009-10-05,0.016007,0.015665
2009-10-06,0.014528,0.01338
2009-10-07,0.002712,0.00231
2009-10-08,0.009669,0.009247
2009-10-09,0.005217,0.006551
2009-10-12,0.003864,0.000513
2009-10-13,-0.002017,-0.000771
2009-10-14,0.017762,0.014018
2009-10-15,0.002381,0.000114
2009-10-16,-0.008157,-0.006072
2009-10-19,0.009987,0.007863
2009-10-20,-0.00797,-0.009151
2009-10-21,-0.0085,-0.007087
2009-10-22,0.010056,0.00695
2009-10-23,-0.012749,-0.013179
2009-10-26,-0.013216,-0.012992
2009-10-27,-0.006312,-0.010174
2009-10-28,-0.024058,-0.030507
2009-10-29,0.023752,0.020269
2009-10-30,-0.028012,-0.023906
2009-11-02,0.005057,-0.001091
2009-11-03,0.005726,0.009361
